klinik,haus,standort_im_betrieb,gewerk_rv,gewerk_info,eq,turnus_jahre,einzelpreis_eur,anteil_jahr_eur,in_scope_elektro,kommentar
Heidelberg,Mannheim,1. und 2. Bauabschnitt,Sicherheitsbeleuchtung,SiBe,2809692,3,3689,1230,nein,Prüfung gemäß Baurecht; inkl. Garage unter Haus Mannheim
Konstanz,alle Häuser,Tiefgarage,Lüft.Garage,bis 75 Stellplätze,1233900,3,945,315,nein,
Konstanz,alle Häuser,Gesamter Standort,el. Anlage 3602 VdS,el. Anlage 3602 VdS,1268813,4,2151,538,ja,
Konstanz,alle Häuser,Treppenräume Bauteil A und B,Nat.Rauchabzug,Nat.Rauchabzug,2508627,3,846,282,nein,
Konstanz,Bauteil A,Gebäude Wandelhalle Östlich,Aufzugsanlagen,Personenaufzug,1303803,1,382,382,nein,
Konstanz,Bauteil A,Gebäude Wandelhalle Östlich,Aufzugsanlagen,Personenaufzug,1303825,1,382,382,nein,
Konstanz,Bauteil A,Küche Anlieferung,Aufzugsanlagen,Güteraufzug,1303846,1,382,382,nein,
Konstanz,Bauteil D,Aufzug,Aufzugsanlagen,Personenaufzug,2774267,1,382,382,nein,
Konstanz,Bauteil D,Treppenräume Bauteil D (1 Großanlage),Nat.Rauchabzug,Nat.Rauchabzug,2954841,3,846,282,nein,
Konstanz,alle Häuser,Erdtank Nordseite,Heizölverb,Heizölverb,988337,5,321,64,nein,
Konstanz,alle Häuser,Tiefgarage,Kraftbetät. Tor,Kraftbetät. Tor,2165412,1,197,197,nein,
Konstanz,Bettenhaus,Neubau,Lüftung,Lüftung,2807546,3,3090,1030,nein,
Konstanz,Bauteil D,Bauteil D,Brandmeldeanlage,BMA,2817680,3,1665,555,nein,Prüfung gemäß Baurecht
Konstanz,Bauteil D,Bauteil D,Sicherheitsbeleuchtung,SiBe,2817679,3,1665,555,nein,Prüfung gemäß Baurecht
Stuttgart,alle Häuser,Gesamter Standort,el. Anlage 3602 VdS,el. Anlage 3602 VdS,2122743,4,655,164,ja,
Stuttgart,alle Häuser,Durchgang zu Anbau Röteslberg,Aufzugsanlagen,Personenaufzug,1404661,1,382,382,nein,
